subject,bases,num_bases
aggregate (composite),aggreg|composit,2
aggregate data,aggreg|datum,2
aggregate expenditure,aggreg|expenditur,2
aggregate industry,aggreg|industri,2
aggregates,aggreg,1
aggregation problem,aggreg|problem,2
aggression,aggress,1
aggressiveness,aggress,1
agile software development,agil|develop|softwar,3
aging,age,1
aging in place,age|place,2
agnosia,agnosia,1
agnosticism,agnostic,1
agora,agora,1
agoraphobia,agoraphobia,1
agra,agra,1
agreement,agreement,1
agreements,agreement,1
agribusiness,agribusi,1
agricultural banking,agricultur|bank,2
agricultural biotechnology,agricultur|biotechnolog,2
agricultural chemicals,agricultur|chemic,2
agricultural commodities,agricultur|commod,2
agricultural cooperatives,agricultur|cooper,2
agricultural economics,agricultur|econom,2
agricultural education,agricultur|educ,2
agricultural engineering,agricultur|engin,2
agricultural equipment,agricultur|equip,2
agricultural exports & imports,agricultur|export|import,3
agricultural lending,agricultur|lend,2
agricultural management,agricultur|manag,2
agricultural marketing,agricultur|market,2
agricultural pest,agricultur|pest,2
agricultural policy,agricultur|polici,2
agricultural pollution,agricultur|pollut,2
agricultural production,agricultur|product,2
agricultural research,agricultur|research,2
agricultural sciences,agricultur|scienc,2
agricultural subsidies,agricultur|subsidi,2
agricultural waste,agricultur|wast,2
agriculture,agricultur,1
agriculture teachers,agricultur|teacher,2
agroforestry,agroforestri,1
agronomy,agronomi,1
agropyron,agropyron,1
agropyron cristatum,agropyron|cristatum,2
agvs,agv,1
aids,aid,1
ailanthus altissima,ailanthu|altissima,2
ailuropoda melanoleuca,ailuropoda|melanoleuca,2
ain't,ai,1
air bags,air|bag,2
air blast,air|blast,2
air bubble,air|bubbl,2
air cargo,air|cargo,2
air cell,air|cell,2
air charter services,air|charter|servic,3
air cleanliness,air|cleanli,2
air combat,air|combat,2
air compressor,air|compressor,2
air compressors,air|compressor,2
air conditioners,air|condition,2
air conditioning,air|condit,2
air conditioning equipment,air|condit|equip,3
air contamination,air|contamin,2
air cooling,air|cool,2
air current,air|current,2
air dryer,air|dryer,2
air entrainment,air|entrain,2
air fares,air|fare,2
air filters,air|filter,2
air flow,air|flow,2
air forces,air|forc,2
air freight,air|freight,2
air freight service,air|freight|servic,3
air gap (plumbing),air|gap|plumb,3
air leakage,air|leakag,2
air monitoring,air|monitor,2
air movement,air|movement,2
air pollution,air|pollut,2
air preheater,air|preheat,2
air purification,air|purif,2
air quality,air|qualiti,2
air quality index,air|index|qualiti,3
air rights,air|right,2
air shows,air|show,2
air space,air|space,2
air stream,air|stream,2
air temperature,air|temperatur,2
air traffic control,air|control|traffic,3
air traffic controllers,air|control|traffic,3
air transport,air|transport,2
air transportation industry,air|industri|transport,3
air travel,air|travel,2
air velocity,air|veloc,2
air warfare,air|warfar,2
air water,air|water,2
airbag,airbag,1
airborne particulates,airborn|particul,2
airborne radar,airborn|radar,2
airborne/spaceborne computers,airborn|comput|spaceborn,3
aircraft,aircraft,1
aircraft accidents,accid|aircraft,2
aircraft accidents & safety,accid|aircraft|safeti,3
aircraft carriers,aircraft|carrier,2
aircraft components,aircraft|compon,2
aircraft crashes,aircraft|crash,2
aircraft engines,aircraft|engin,2
aircraft hijacking,aircraft|hijack,2
aircraft industry,aircraft|industri,2
aircraft landing,aircraft|land,2
aircraft maintenance,aircraft|mainten,2
aircraft manufacture & service,aircraft|manufactur|servic,3
