min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,2020,3,7525,328984,2255,0.29966777408637874,769,0.07752862571963758,0.4187419285144483,0.5849223946784923
0.0,1.0,2021,3,7175,354750,2213,0.3084320557491289,756,0.07816298914784653,0.41658689588347636,0.587437867148667
0.0,1.0,2022,3,7151,362604,2169,0.3033142217871626,742,0.08374277642483537,0.4118131626863,0.5500230520977409
0.0,1.0,2023,3,7883,445010,2350,0.29810985665355827,752,0.0829530104119511,0.4146921767554549,0.5885106382978723
0.0,1.0,1990,4,2434,43851,862,0.3541495480690222,198,0.07048842329660154,0.3753725092151823,
0.0,1.0,1991,4,1664,15338,708,0.4254807692307692,155,0.054135146350027134,0.3583677585447607,0.6935028248587571
0.0,1.0,1992,4,2392,39561,875,0.3658026755852843,245,0.05879248979591837,0.38228768903145743,0.7634285714285715
0.0,1.0,1993,4,2437,38124,913,0.37464095199015185,230,0.0638639392779722,0.37384858294706574,0.6714129244249727
0.0,1.0,1994,4,2642,46871,925,0.350113550340651,222,0.07447070854638423,0.3811606477908609,0.6583783783783783
0.0,1.0,1995,4,2658,41287,1079,0.40594431903686984,255,0.10250025553128608,0.3750190037338774,0.7025023169601483
0.0,1.0,1996,4,2660,35193,910,0.34210526315789475,204,0.08407680231856056,0.36109601558033566,0.6593406593406593
0.0,1.0,1997,4,2785,44960,1004,0.36050269299820464,272,0.086101807907811,0.34732009228907196,0.7171314741035857
0.0,1.0,1998,4,4393,126324,1481,0.3371272478943774,501,0.0704995666468037,0.40831221427414593,0.7616475354490209
0.0,1.0,1999,4,4660,138929,1512,0.3244635193133047,507,0.06762741104672322,0.41410822311408785,0.6144179894179894
0.0,1.0,2000,4,4773,148599,1661,0.34799916195265035,571,0.058373182849382046,0.41572940366744066,0.6008428657435281
0.0,1.0,2001,4,4686,142828,1632,0.34827144686299616,552,0.06118590205690119,0.4131319982475396,0.5882352941176471
0.0,1.0,2002,4,4798,140577,1773,0.36952897040433513,579,0.06952154728014281,0.4058489275175338,0.6192893401015229
0.0,1.0,2003,4,4886,136538,1685,0.3448628735161686,551,0.06927207248456886,0.40087405433950823,0.600593471810089
0.0,1.0,2004,4,5191,159913,1831,0.352725871701021,606,0.0689845762687092,0.40759860690467964,0.6002184598580012
0.0,1.0,2005,4,5330,163850,1849,0.3469043151969981,657,0.07158854814889781,0.40692391175786075,0.588967009194159
0.0,1.0,2006,4,5376,162408,1903,0.35398065476190477,655,0.07891044618268743,0.4028109069733838,0.5911718339464005
0.0,1.0,2007,4,6124,242939,2055,0.33556499020248204,659,0.09386233801599568,0.3947590508141717,0.6321167883211679
0.0,1.0,2008,4,6388,292971,2224,0.34815278647463993,638,0.093537714792195,0.3935072500545803,0.5948741007194245
0.0,1.0,2009,4,6142,247685,2155,0.35086291110387496,654,0.09429772664875838,0.3916151548874567,0.5619489559164733
0.0,1.0,2010,4,5716,191704,1985,0.3472708187543737,651,0.08685011642736142,0.3961050893674712,0.5743073047858942
0.0,1.0,2011,4,5647,178568,1908,0.33787851956791215,643,0.08926005036720595,0.39443057561193545,0.5718029350104822
0.0,1.0,2012,4,5826,185481,1993,0.3420871953312736,664,0.08737782439239797,0.39559616948997267,0.5960863020572003
0.0,1.0,2013,4,6028,188732,1972,0.32714001327140013,627,0.09433797300132894,0.3961161013287137,0.5897565922920893
0.0,1.0,2014,4,6058,188323,1983,0.327335754374381,665,0.09396333789301853,0.3972268749363726,0.5869894099848714
0.0,1.0,2015,4,6044,190686,2057,0.34033752481800134,646,0.0880848657216817,0.3988091445325818,0.5872630043753038
0.0,1.0,2016,4,6445,224801,2073,0.321644685802948,721,0.08559851945243194,0.4032305801601267,0.5996140858658948
0.0,1.0,2017,4,7748,301745,2485,0.3207279297883325,850,0.07540534960264599,0.41306667916028317,0.6430583501006036
0.0,1.0,2018,4,7419,290091,2256,0.30408410837040034,761,0.08844892736783862,0.4102646625419018,0.5908687943262412
0.0,1.0,2019,4,8004,361916,2489,0.3109695152423788,801,0.07982103981504156,0.41656132581418,0.6171153073523503
0.0,1.0,2020,4,7525,328984,2227,0.2959468438538206,806,0.07766201185636779,0.4188369174739615,0.5886843286933094
0.0,1.0,2021,4,7175,354750,2177,0.30341463414634146,731,0.08077156069983749,0.4165727978679293,0.585209003215434
0.0,1.0,2022,4,7151,362604,2182,0.3051321493497413,747,0.08264014967894134,0.41180527300211334,0.5513290559120073
0.0,1.0,2023,4,7883,445010,2276,0.28872256755042497,719,0.08718738513903773,0.4149043355490614,0.5751318101933216
0.0,1.0,1990,5,2434,43851,877,0.36031224322103533,236,0.06894422132048073,0.3757980769469719,
0.0,1.0,1991,5,1664,15338,725,0.43569711538461536,157,0.05380451843043996,0.36092921017987095,0.6827586206896552
0.0,1.0,1992,5,2392,39561,875,0.3658026755852843,252,0.05761959183673469,0.3838903504531574,0.7668571428571429
0.0,1.0,1993,5,2437,38124,881,0.3615100533442758,226,0.06338246832809172,0.3741472106453493,0.6651532349602725
0.0,1.0,1994,5,2642,46871,937,0.3546555639666919,236,0.07232259908948949,0.38100031260997913,0.6606189967982925
0.0,1.0,1995,5,2658,41287,900,0.33860045146726864,233,0.07565432098765433,0.37709327476453935,0.6455555555555555
0.0,1.0,1996,5,2660,35193,913,0.3432330827067669,219,0.08566657349301618,0.36137573443250814,0.6681270536692223
0.0,1.0,1997,5,2785,44960,1025,0.36804308797127466,270,0.08757929803688277,0.3475642859936538,0.7209756097560975
0.0,1.0,1998,5,4393,126324,1507,0.3430457546096062,504,0.06623150799476364,0.4082941241273156,0.7524883875248839
0.0,1.0,1999,5,4660,138929,1530,0.3283261802575107,538,0.06627023794267164,0.4141013899519774,0.6183006535947713
