min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t,density
0.0,1.0,2022,0,7151,362604,2199,0.3075094392392672,757,0.08125546338500632,0.4117742822226,0.5638926784902228,0.014183707496530877
0.0,1.0,2023,0,7883,445010,2390,0.3031840669795763,759,0.08150312494529151,0.41458396551456544,0.590794979079498,0.014324247254385157
1e-05,0.005,1990,0,1981,19256,877,0.44270570418980315,203,0.06014205679411386,0.3357713513322533,,0.009818528546443741
1e-05,0.005,1991,0,1294,6889,702,0.5425038639876353,187,0.050807217473884135,0.36010321849805377,0.6367521367521367,0.008234806131218988
1e-05,0.005,1992,0,2038,16416,929,0.45583905789990187,212,0.05581542475965802,0.33395280683041123,0.697524219590958,0.007908645890091213
1e-05,0.005,1993,0,2069,15949,929,0.4490091831802803,228,0.06321947624736252,0.34756623002446774,0.627556512378902,0.007455082067136405
1e-05,0.005,1994,0,2242,19968,1008,0.4495985727029438,224,0.06238386558327033,0.3287824982208883,0.5972222222222222,0.00794853514563756
1e-05,0.005,1995,0,2206,17022,1122,0.5086128739800544,242,0.0533996778098697,0.3418398274627421,0.6265597147950089,0.006998846682825442
1e-05,0.005,1996,0,2246,13566,1306,0.5814781834372217,279,0.05079043828812244,0.31542552071746405,0.6248085758039816,0.00538090978864678
1e-05,0.005,1997,0,2343,17681,1350,0.5761843790012804,292,0.0628246913580247,0.3090653430573345,0.5977777777777777,0.006444328054604573
1e-05,0.005,1998,0,3982,44715,1886,0.47363134103465593,326,0.14901056959299364,0.3286734400837384,0.6468716861081654,0.005641437713115198
1e-05,0.005,1999,0,4178,48812,2003,0.4794159885112494,366,0.13020583951830614,0.3160337991365218,0.5351972041937094,0.005594015782935868
1e-05,0.005,2000,0,4284,52970,2092,0.488328664799253,466,0.13407673409400822,0.328882803826238,0.5200764818355641,0.005773809251305783
1e-05,0.005,2001,0,4241,49697,1995,0.47040792265975007,397,0.13770089383860654,0.32480707024171734,0.4972431077694236,0.005527465487402846
1e-05,0.005,2002,0,4321,50129,2110,0.4883128905345985,348,0.13620314009119291,0.316396161775322,0.5336492890995261,0.005370948940145885
1e-05,0.005,2003,0,4442,49173,2199,0.495047276001801,357,0.1408786622386752,0.3116721462116452,0.5138699408822192,0.004985369739891505
1e-05,0.005,2004,0,4673,58619,2274,0.48662529424352663,374,0.1495537872582031,0.3244113937764586,0.5118733509234829,0.005369944361224053
1e-05,0.005,2005,0,4814,60407,2271,0.47174906522642296,373,0.14960927328107096,0.31888859238712525,0.503742844561867,0.0052142916148283135
1e-05,0.005,2006,0,4853,61301,2301,0.47413970739748607,399,0.1532547967259478,0.3131804879295795,0.5267275097783573,0.005206746950620289
1e-05,0.005,2007,0,5521,104645,2563,0.4642274950190183,413,0.17971511206705346,0.31496817270301775,0.5396020288724152,0.0068673890730780235
1e-05,0.005,2008,0,5722,133963,2622,0.45823138762670396,443,0.16145610602302524,0.3200160245305957,0.5011441647597255,0.008184554766464678
1e-05,0.005,2009,0,5557,107025,2432,0.4376462119848839,297,0.1964449473034972,0.31982876267534277,0.48355263157894735,0.006932862682484412
1e-05,0.005,2010,0,5190,75001,2533,0.4880539499036609,291,0.11133558153572995,0.2821314652042852,0.5104619028819581,0.005569882339661007
1e-05,0.005,2011,0,5114,68244,2495,0.4878764176769652,297,0.12792221717985072,0.29077848265427164,0.47414829659318636,0.005219849164073786
1e-05,0.005,2012,0,5301,71820,2441,0.4604791548764384,287,0.14156477128986397,0.3075722434961834,0.49365014338385904,0.005112598904443092
1e-05,0.005,2013,0,5451,73678,2398,0.43991928086589616,295,0.15026352931028844,0.3030296718000256,0.4949958298582152,0.004960153763554873
1e-05,0.005,2014,0,5471,73745,2501,0.45713763480168157,313,0.15584761697080468,0.3067640082291631,0.5193922431027589,0.004928429341747763
1e-05,0.005,2015,0,5487,73487,2577,0.46965554948059046,285,0.12479624462179914,0.2974986139986168,0.5106713232440823,0.004882584302099796
1e-05,0.005,2016,0,5845,89629,2466,0.4218990590248075,296,0.14061964534374716,0.29945181657885017,0.48864557988645585,0.005247879131733599
1e-05,0.005,2017,0,6520,127057,2534,0.38865030674846623,301,0.17679090805456218,0.32221912033927597,0.5,0.005978607129513823
1e-05,0.005,2018,0,6339,124745,2492,0.3931219435242152,289,0.18076045593088905,0.3227130750760847,0.4747191011235955,0.006209836366866649
1e-05,0.005,2019,0,6715,162658,2666,0.3970215934475056,308,0.16929729431607712,0.3221319043861341,0.49324831207801956,0.007215693372291282
