min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,2005,3,16469,1106209,5186,0.3148946505555893,1578,0.06291293611549324,0.43119048837097135,0.5183185499421519
0.0,1.0,2006,3,16779,1197019,5287,0.315096251266464,1583,0.05995624199151063,0.43261000496925134,0.5050122943067903
0.0,1.0,2007,3,17059,1247769,5294,0.3103347206753034,1529,0.0625316040897958,0.43218552210925876,0.4984888553078958
0.0,1.0,2008,3,17229,1318524,5566,0.3230599570491613,1594,0.058111146301869476,0.4324627270390543,0.5086237872799138
0.0,1.0,2009,3,17423,1400948,5580,0.32026631464156574,1564,0.05817551161984044,0.43311751090065004,0.4976702508960573
0.0,1.0,2010,3,17478,1484113,5676,0.32475111568829385,1677,0.05687467377447219,0.43316979187105875,0.48960535588442566
0.0,1.0,2011,3,17612,1535196,5492,0.311832841244606,1560,0.06064631385968811,0.43320610457638165,0.47541879096868167
0.0,1.0,2012,3,17767,1567243,5706,0.3211572015534418,1627,0.05851730715812025,0.43317691938389974,0.4926393270241851
0.0,1.0,2013,3,17813,1594207,5731,0.32173131982260145,1665,0.0579639530816264,0.4336018300318676,0.4911882742976793
0.0,1.0,2014,3,17768,1613834,5568,0.3133723547951373,1603,0.060926971858898143,0.4336024302868473,0.4757543103448276
0.0,1.0,2015,3,17773,1610502,5719,0.32178022843639226,1630,0.06039145611846971,0.43351164448655316,0.4827767092148977
0.0,1.0,2016,3,17782,1600252,5729,0.32217973231357555,1590,0.05959601225308786,0.4342347761921153,0.4862977832082388
0.0,1.0,2017,3,17775,1645430,5792,0.32585091420534457,1711,0.05653879851423949,0.4350790180658883,0.48135359116022103
0.0,1.0,2018,3,17944,1738169,5770,0.32155595185020064,1651,0.05653998299937823,0.43669145394996167,0.4819757365684575
0.0,1.0,2019,3,18065,1825458,5921,0.3277608635482978,1754,0.05274620024433056,0.43866053750447725,0.4924843776389124
0.0,1.0,2020,3,18242,1921388,5870,0.3217848920074553,1758,0.05362031987787644,0.439738786198691,0.4742759795570698
0.0,1.0,2021,3,18118,1983661,5876,0.3243183574345954,1752,0.05228274514692343,0.4409524672729327,0.4823008849557522
0.0,1.0,2022,3,18090,1954473,5924,0.32747374239911553,1826,0.051549596714813475,0.44194288886635774,0.48531397704253887
0.0,1.0,2023,3,18159,2009733,5943,0.3272757310424583,1884,0.049711277836060455,0.44299844728653043,0.48342587918559654
0.0,1.0,1990,4,12593,397239,3551,0.28198205352179784,1201,0.08875974743372135,0.4117359822137893,
0.0,1.0,1991,4,12657,417466,3579,0.2827684285375681,1163,0.08536235675478357,0.4132351411834999,0.5800502933780385
0.0,1.0,1992,4,12986,445814,3800,0.29262282458031724,1286,0.07977894736842106,0.4152478455869454,0.5855263157894737
0.0,1.0,1993,4,13079,461959,3898,0.2980350179677345,1367,0.07780417053541552,0.4150350154399697,0.5702924576706003
0.0,1.0,1994,4,13207,483525,3703,0.2803816158097978,1163,0.08951066892285553,0.4148763553365923,0.5573859033216311
0.0,1.0,1995,4,13617,503236,3994,0.29330983329661453,1293,0.08032228613325591,0.41558154679158216,0.5788683024536805
0.0,1.0,1996,4,13774,535092,3902,0.2832873529838827,1215,0.08417610230766544,0.4166954444804046,0.5586878523833931
0.0,1.0,1997,4,13990,548813,4072,0.2910650464617584,1319,0.08116332343938766,0.4170505722495523,0.5655697445972495
0.0,1.0,1998,4,14084,572367,4257,0.3022578812837262,1329,0.07495703162484553,0.4171505439952826,0.568240544984731
0.0,1.0,1999,4,14465,616762,4309,0.29789146215001727,1427,0.0770639269807251,0.41874383925222586,0.5439777210489674
0.0,1.0,2000,4,15000,683122,4144,0.27626666666666666,1308,0.08686967528063087,0.41946925690292247,0.5477799227799227
0.0,1.0,2001,4,15252,725997,4517,0.29615788093364803,1517,0.07401929169360878,0.4201755893836971,0.5638698251051584
0.0,1.0,2002,4,15823,1036508,5231,0.3305947039120268,1568,0.05366288885345628,0.4359137140101472,0.5761804626266489
0.0,1.0,2003,4,16064,977125,5072,0.3157370517928287,1503,0.06284767486988627,0.4302140405516646,0.5094637223974763
0.0,1.0,2004,4,16228,1000259,4973,0.30644564949470054,1530,0.06739198832351444,0.4286616761551634,0.5141765533882968
0.0,1.0,2005,4,16469,1106209,5051,0.3066974315380412,1432,0.06636065840562476,0.4312027451647475,0.5092060978024153
0.0,1.0,2006,4,16779,1197019,5253,0.3130699088145897,1642,0.060934494875318775,0.4325999969139991,0.5118979630687226
0.0,1.0,2007,4,17059,1247769,5377,0.3152001875842664,1564,0.06072472213997109,0.432203318482799,0.5012088525199926
